task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized
<<<<<<< HEAD
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.34285714285714,60.98457991083463
=======
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.49523809523809,32.91775614448956
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.81428571428572,32.52619905159587
esnli,t5-base,standard,16,72.22701149425286,65.94330321269474
esnli,t5-large,standard,16,84.27191729578998,77.18300833220806
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,29.02040816326531,28.35283862557016
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.34285714285714,60.98457991083463
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,55.71428571428571,50.98884470519565
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.69047619047619,63.17882688669931
>>>>>>> 62322d6369c8c59d49a92a041f2ebf662346fe8b
