,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized
,,,,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,
<<<<<<< HEAD
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.19523809523809524,0.2418278842970404,0.1622149246079581,0.2012941998123306
=======
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.895558223289314,2.3299808282297576,33.251078268917816,1.8970499405710826
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,57.46388443017657,2.170583693333836,46.724969877572924,1.7671022654332211
esnli,t5-base,standard,16,77.92145593869732,2.2736687510292874,64.89882102557297,1.9037977972802316
esnli,t5-large,standard,16,57.91787841019249,8.090890556205979,48.2360430787168,6.732104933103293
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.6238095238095238,0.35183355165839764,0.5240988552570343,0.2949755856389091
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.19523809523809524,0.2418278842970404,0.1622149246079581,0.2012941998123306
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,19.938095238095237,3.746051587249042,16.70145526301293,3.14021171880193
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,48.457142857142856,0.8,40.59436664212318,0.6753741050400466
>>>>>>> 62322d6369c8c59d49a92a041f2ebf662346fe8b
