task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized
<<<<<<< HEAD
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,26.966666666666665,26.96203846165112
=======
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,41.964285714285715,34.11803950673463
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,51.3717834960071,41.78785258282998
esnli,t5-base,standard,16,42.083333333333336,37.018622167094456
esnli,t5-large,standard,16,84.0483032293377,76.90433501457102
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.30476190476190473,0.2615378073283604
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,26.966666666666665,26.96203846165112
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.31428571428571,51.469562059640886
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,67.12380952380953,61.63627791461491
>>>>>>> 62322d6369c8c59d49a92a041f2ebf662346fe8b
