seed,input,predicted_label,predicted_explanation
1111,Where on land would you likely find a cannon?,fort,fort is a place where you can find a cannon.
1111,Where is there likely to be a large volume of text?,library,library is a place where there is a large volume of text. library is a place where there is a large volume of text.
1111,What does water do when I submerges clothing?,drenching,water drenches clothing.
1111,"If you wanted to see a gazelle in the wild, which land mass feature would you be looking for?",open plain,gazelle are animals that live on land mass. they are found on land mass.
1111,The part of a computer that holds the memory and processing chips is called what?,motherboard,motherboard is the part of computer that holds the memory and processing chips. motherboard is also known as motherboard.
1111,What is a place that sells food but does not usually sell suntan lotion?,grocery store,grocery store sells food but does not sell suntan lotion.
1111,The baking open is sometimes made of brick in what kind of place where you get round food?,pizza parlor,pizza parlor is a place where you get around food.
1111,"The farmer knew the potatoes wouldn't grow in the city, so where did he look for a plot?",countryside,countryside is where potatoes grow.
1111,"When a person brings up marital issues while chatting with friends, what is the general feeling?",discomfort,"when someone brings up marital issues while talking with friends, they feel discomfort"
1111,Where could there be a floating cottage?,fairy story,floating cottages are floating cottages. floating cottages are floating cottages. floating cottages are floating cottages. floating cottages are floating cottages.
1111,"You think of lower areas when it comes to a valley, but they're usually just a lower spot in a what?",mountainous region,valleys are lower spots in mountainous regions. valleys are lower spots in mountainous regions.
1111,What is the goal of a poor person having food?,will not starve,food is a means to survive.
1111,"James is apply for a job that he really wants. He knows that it will be a good fit and he has experience, but he doesn't have all the qualifications that they're asking for, so he's worried about what?",rejection,rejection is when someone doesn't have all the qualifications they need to do a job.
1111,What type of building has the most top floor?,tall building,tall building has the most top floor. tall building has the most top floor.
1111,What does someone likely need after finding the right shoe?,left foot,left foot is the foot that is in the center of the foot.
1111,"They mocked their friend for being timid, but it kept her out of the trouble they got into by being what?",reckless,they mocked their friend
1111,"The lizard looked longingly out of its cage, what was the lizards status?",captivity,lizard in captivity is a lizard in captivity. lizard in captivity is a lizard in captivity.
1111,What area does a police officer patrol?,beat,beat is the area where a police officer patrols. beat is the area where a police officer patrols.
1111,When you plant a garden you can harvest what to eat?,vegetable,vegetable means that when you plant a garden you can harvest what to eat.
1111,Where is a snake unlikely to be welcome?,petting zoo,snakes are not welcome in petting zoo.
1111,Where might families decide on dinner together?,supermarket,supermarket is a place where families decide on dinner together.
1111,"He knew the kickoff wouldn't happen right away, so he waited a quarter past the what before he turned on the football game?",hour,he knew the kickoff wouldn't happen right away.
1111,What is a grumpy person likely to have?,headache,headache is a common problem for grumpy people.
1111,Where did a shop get the sand dollars you can buy?,ocean floor,sand dollars are from ocean floor.
1111,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,sky,sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is the sky. sky is
1111,What country is arkansas in?,united states,arkansas is in united states. arkansas is in united states.
1111,"She wasn't just out windows shopping, she was filling up her cart and doing what?",purchasing,
1111,There's always more than one shopping bag full of food after a trip where?,grocery store,grocery store is a place where people can buy food.
1111,"The pitcher stepped on the mound ready to throw, where was he located specifically?",baseball diamond,baseball diamond is the place where a pitcher steps on the mound ready to throw. baseball diamond is the place where a pitcher steps on the mound ready to throw. baseball diamond is the place where a pitcher steps on the mound ready to throw. baseball diamond is the place where a pitcher steps on the mound ready to throw. baseball diamond is the place where a pitcher steps on the mound ready to throw. baseball diamond is the place where
1111,Dan said that getting in line was the best choice because it would lead to what?,less confusion,standing in line leads to less confusion.
