,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,55.42857142857143,44.99133382524763,allenai/unifiedqa-t5-large,ecqa,588,48,unifiedqa_matching
1,0.2857142857142857,0.24365942818777903,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
2,0.0,0.0,allenai/unifiedqa-t5-large,sbic,834,24,unified_qa_what_with_tags
3,73.85057471264368,61.429480677363514,t5-base,esnli,2498,16,standard
4,0.2857142857142857,0.23329959596906388,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
5,0.0,0.0,allenai/unifiedqa-t5-base,sbic,1936,24,unified_qa_what_with_tags
6,36.857142857142854,29.997873187065125,allenai/unifiedqa-t5-base,ecqa,6290,48,unifiedqa_matching
7,0.0,0.0,allenai/unifiedqa-t5-large,sbic,2175,24,unified_qa_what_with_tags
8,38.857142857142854,31.555343764168875,allenai/unifiedqa-t5-base,ecqa,8384,48,unifiedqa_matching
9,10.0,8.353385874203273,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
10,0.0,0.0,allenai/unifiedqa-t5-large,sbic,5320,24,unified_qa_what_with_tags
11,87.64367816091954,73.0536933602958,t5-large,esnli,7632,16,standard
12,89.36781609195403,74.4027021630057,t5-large,esnli,1111,16,standard
13,56.285714285714285,45.76205122470856,allenai/unifiedqa-t5-large,ecqa,178,48,unifiedqa_matching
14,0.0,0.0,allenai/unifiedqa-t5-large,sbic,7004,24,unified_qa_what_with_tags
15,41.14285714285714,33.399435435022625,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
16,73.85057471264368,61.429480677363514,t5-base,esnli,2498,16,standard
17,84.77011494252874,70.60074134804736,t5-large,esnli,7356,16,standard
18,11.142857142857142,9.315047025680542,allenai/unifiedqa-t5-large,sensemaking,2638,24,unifiedqa_what
19,74.71264367816092,62.18594336646727,t5-base,esnli,6595,16,standard
20,11.142857142857142,9.315863064357213,allenai/unifiedqa-t5-large,sensemaking,2147,24,unifiedqa_what
21,0.0,0.0,allenai/unifiedqa-t5-large,sbic,741,24,unified_qa_what_with_tags
22,0.0,0.0,allenai/unifiedqa-t5-large,sbic,1181,24,unified_qa_what_with_tags
23,89.36781609195403,74.42253221725595,t5-large,esnli,1331,16,standard
24,6.571428571428571,5.481279628617423,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
25,85.34482758620689,71.0735795484192,t5-large,esnli,4512,16,standard
26,0.0,0.0,allenai/unifiedqa-t5-base,sbic,1331,24,unified_qa_what_with_tags
27,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,7632,24,unifiedqa_what
28,0.0,0.0,allenai/unifiedqa-t5-large,sbic,6290,24,unified_qa_what_with_tags
29,75.0,62.45289410667858,t5-base,esnli,9962,16,standard
30,6.0,4.993456414767674,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
31,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,9933,24,unifiedqa_what
32,56.285714285714285,45.77417608669826,allenai/unifiedqa-t5-large,ecqa,6227,48,unifiedqa_matching
33,40.85714285714286,33.18275097438267,allenai/unifiedqa-t5-base,ecqa,4199,48,unifiedqa_matching
34,0.2857142857142857,0.23835062980651855,allenai/unifiedqa-t5-base,sbic,9428,24,unified_qa_what_with_tags
