,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,73.5632183908046,67.13887268099292,t5-base,esnli,3639,16,standard
1,72.12643678160919,65.56615144356914,t5-base,esnli,4864,16,standard
2,85.0574712643678,77.87175940713664,t5-large,esnli,4864,16,standard
3,85.63218390804597,78.12246774462447,t5-large,esnli,4273,16,standard
4,75.0,68.27953596567285,t5-base,esnli,2689,16,standard
5,85.91954022988506,78.55501306810598,t5-large,esnli,2689,16,standard
6,69.82758620689656,63.523170403365434,t5-base,esnli,7356,16,standard
7,77.87356321839081,70.89520680835878,t5-base,esnli,51,16,standard
8,75.28735632183908,68.65900218829341,t5-base,esnli,4182,16,standard
9,74.13793103448276,67.87611246109009,t5-base,esnli,2796,16,standard
10,83.62068965517241,76.60772490432893,t5-large,esnli,1111,16,standard
11,73.85057471264368,67.59460371458667,t5-base,esnli,1967,16,standard
12,86.7816091954023,79.37990695923224,t5-large,esnli,1967,16,standard
13,83.62068965517241,76.52281380590351,t5-base,esnli,1319,16,standard
14,78.73563218390804,71.99707654700882,t5-base,esnli,741,16,standard
15,85.34482758620689,78.00953115882545,t5-large,esnli,1335,16,standard
16,86.7816091954023,79.19803873218339,t5-large,esnli,3112,16,standard
17,76.14942528735632,69.23438829594645,t5-base,esnli,1349,16,standard
18,84.48275862068965,77.41650390899045,t5-large,esnli,6895,16,standard
19,75.0,68.54421689935114,t5-base,esnli,2913,16,standard
20,68.96551724137932,62.89534686968244,t5-base,esnli,178,16,standard
21,68.96551724137932,62.89534686968244,t5-base,esnli,178,16,standard
22,82.18390804597702,75.22729032341091,t5-large,esnli,8160,16,standard
23,73.85057471264368,67.67654364136443,t5-base,esnli,1936,16,standard
24,84.48275862068965,77.54732610165388,t5-large,esnli,6595,16,standard
25,81.60919540229885,74.36765631039937,t5-large,esnli,2638,16,standard
26,81.60919540229885,74.36765631039937,t5-large,esnli,2638,16,standard
27,77.29885057471265,70.18762426129703,t5-base,esnli,6227,16,standard
28,75.86206896551724,69.408809419336,t5-base,esnli,2051,16,standard
29,74.71264367816092,67.96516621934957,t5-base,esnli,4779,16,standard
30,69.54022988505747,63.522127544742894,t5-base,esnli,1181,16,standard
31,83.62068965517241,76.8167486135987,t5-large,esnli,5320,16,standard
32,21.142857142857142,18.253763266972133,allenai/unifiedqa-t5-large,ecqa,4273,48,unifiedqa_matching
33,13.714285714285715,11.586815220969063,allenai/unifiedqa-t5-large,ecqa,7632,48,unifiedqa_matching
34,16.28571428571429,13.587980151176453,allenai/unifiedqa-t5-large,ecqa,3112,48,unifiedqa_matching
35,15.142857142857144,12.716860038893563,allenai/unifiedqa-t5-large,ecqa,8483,48,unifiedqa_matching
36,33.714285714285715,29.484702110290527,allenai/unifiedqa-t5-large,ecqa,4823,48,unifiedqa_matching
37,39.714285714285715,34.94784212112427,allenai/unifiedqa-t5-large,ecqa,2913,48,unifiedqa_matching
38,36.0,29.257578475134714,allenai/unifiedqa-t5-base,ecqa,9962,48,unifiedqa_matching
39,18.857142857142858,16.346643941743032,allenai/unifiedqa-t5-large,ecqa,9991,48,unifiedqa_matching
40,35.42857142857142,28.815514973231725,allenai/unifiedqa-t5-base,ecqa,6924,48,unifiedqa_matching
41,35.42857142857142,28.815514973231725,allenai/unifiedqa-t5-base,ecqa,6924,48,unifiedqa_matching
42,18.571428571428573,16.060612968036107,allenai/unifiedqa-t5-large,ecqa,6227,48,unifiedqa_matching
43,35.14285714285714,28.56208746773856,allenai/unifiedqa-t5-base,ecqa,9599,48,unifiedqa_matching
44,32.285714285714285,26.193096569606237,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
45,22.857142857142858,19.48296194417136,allenai/unifiedqa-t5-large,ecqa,4791,48,unifiedqa_matching
46,68.28571428571428,62.59414041042328,allenai/unifiedqa-t5-large,sensemaking,4199,24,unifiedqa_what
47,63.42857142857142,58.1226680789675,allenai/unifiedqa-t5-large,sensemaking,1331,24,unifiedqa_what
48,66.57142857142857,61.282789724213735,allenai/unifiedqa-t5-large,sensemaking,7009,24,unifiedqa_what
49,70.0,64.3284753220422,allenai/unifiedqa-t5-large,sensemaking,1967,24,unifiedqa_what
50,65.14285714285715,59.63041039875576,allenai/unifiedqa-t5-large,sensemaking,1319,24,unifiedqa_what
51,50.857142857142854,46.41649322850363,allenai/unifiedqa-t5-base,sensemaking,1335,24,unifiedqa_what
52,67.71428571428572,62.22575078691755,allenai/unifiedqa-t5-large,sensemaking,1335,24,unifiedqa_what
53,50.57142857142857,46.20737087726593,allenai/unifiedqa-t5-base,sensemaking,6339,24,unifiedqa_what
54,66.28571428571428,60.88486724240439,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
55,71.14285714285714,65.52796379157475,allenai/unifiedqa-t5-large,sensemaking,1349,24,unifiedqa_what
56,67.71428571428572,62.30255649771009,allenai/unifiedqa-t5-large,sensemaking,4823,24,unifiedqa_what
57,67.14285714285714,61.757784843444824,allenai/unifiedqa-t5-large,sensemaking,178,24,unifiedqa_what
58,56.57142857142857,51.665481890950886,allenai/unifiedqa-t5-base,sensemaking,8160,24,unifiedqa_what
59,66.85714285714286,61.277120436940876,allenai/unifiedqa-t5-large,sensemaking,9991,24,unifiedqa_what
60,57.14285714285714,51.96185803413391,allenai/unifiedqa-t5-base,sensemaking,6924,24,unifiedqa_what
61,57.14285714285714,51.96185803413391,allenai/unifiedqa-t5-base,sensemaking,6924,24,unifiedqa_what
62,74.0,67.99975889069694,allenai/unifiedqa-t5-large,sensemaking,6924,24,unifiedqa_what
63,67.14285714285714,61.66641184261867,allenai/unifiedqa-t5-large,sensemaking,5358,24,unifiedqa_what
64,54.57142857142857,49.70346217496054,allenai/unifiedqa-t5-base,sensemaking,2769,24,unifiedqa_what
65,69.71428571428572,64.11374093805041,allenai/unifiedqa-t5-large,sensemaking,4779,24,unifiedqa_what
66,68.28571428571428,62.847221629960195,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
67,73.42857142857143,67.58593559265137,allenai/unifiedqa-t5-large,sensemaking,9599,24,unifiedqa_what
68,71.71428571428572,65.889578802245,allenai/unifiedqa-t5-large,sensemaking,1181,24,unifiedqa_what
69,71.71428571428572,65.889578802245,allenai/unifiedqa-t5-large,sensemaking,1181,24,unifiedqa_what
70,63.142857142857146,57.922562275614055,allenai/unifiedqa-t5-large,sensemaking,588,24,unifiedqa_what
71,57.99999999999999,52.78997620514461,allenai/unifiedqa-t5-base,sensemaking,4791,24,unifiedqa_what
72,45.42857142857143,44.54411273343222,allenai/unifiedqa-t5-base,sbic,4273,24,unified_qa_what_with_tags
73,44.0,41.683746610369,allenai/unifiedqa-t5-base,sbic,7632,24,unified_qa_what_with_tags
74,45.14285714285714,43.05922317504883,allenai/unifiedqa-t5-base,sbic,2689,24,unified_qa_what_with_tags
75,49.714285714285715,46.95399154935564,allenai/unifiedqa-t5-base,sbic,7009,24,unified_qa_what_with_tags
76,52.85714285714286,49.72865511689867,allenai/unifiedqa-t5-large,sbic,7009,24,unified_qa_what_with_tags
77,52.85714285714286,49.72865511689867,allenai/unifiedqa-t5-large,sbic,7009,24,unified_qa_what_with_tags
78,38.57142857142858,36.14830837930952,allenai/unifiedqa-t5-base,sbic,1111,24,unified_qa_what_with_tags
79,44.0,41.487803850855144,allenai/unifiedqa-t5-base,sbic,1319,24,unified_qa_what_with_tags
80,16.28571428571429,14.761359351021904,allenai/unifiedqa-t5-base,sbic,741,24,unified_qa_what_with_tags
81,49.714285714285715,47.10206413269043,allenai/unifiedqa-t5-base,sbic,9933,24,unified_qa_what_with_tags
82,37.142857142857146,35.57531091145107,allenai/unifiedqa-t5-base,sbic,834,24,unified_qa_what_with_tags
83,40.285714285714285,39.78275774206434,allenai/unifiedqa-t5-base,sbic,6895,24,unified_qa_what_with_tags
84,40.285714285714285,39.78275774206434,allenai/unifiedqa-t5-base,sbic,6895,24,unified_qa_what_with_tags
85,37.142857142857146,36.094927889960154,allenai/unifiedqa-t5-base,sbic,9962,24,unified_qa_what_with_tags
86,51.142857142857146,50.79698804446629,allenai/unifiedqa-t5-base,sbic,2147,24,unified_qa_what_with_tags
87,36.857142857142854,34.484517863818574,allenai/unifiedqa-t5-base,sbic,6924,24,unified_qa_what_with_tags
88,50.0,46.907377106802805,allenai/unifiedqa-t5-base,sbic,6227,24,unified_qa_what_with_tags
89,41.14285714285714,40.457758631025044,allenai/unifiedqa-t5-base,sbic,4512,24,unified_qa_what_with_tags
90,43.714285714285715,42.86717648165567,allenai/unifiedqa-t5-base,sbic,2051,24,unified_qa_what_with_tags
91,43.42857142857143,42.07762723309653,allenai/unifiedqa-t5-base,sbic,1181,24,unified_qa_what_with_tags
92,73.85057471264368,66.93783222601331,t5-base,esnli,7056,16,standard
93,72.12643678160919,65.56615144356914,t5-base,esnli,4864,16,standard
94,75.0,68.01412497786269,t5-base,esnli,7632,16,standard
95,71.26436781609196,65.16938904921214,t5-base,esnli,4523,16,standard
96,87.35632183908046,79.85184677373404,t5-large,esnli,2175,16,standard
97,85.91954022988506,78.71029274217014,t5-large,esnli,8975,16,standard
98,83.62068965517241,76.63631696125557,t5-large,esnli,51,16,standard
99,72.98850574712644,66.57608838259489,t5-base,esnli,4199,16,standard
100,78.73563218390804,71.99707654700882,t5-base,esnli,741,16,standard
101,85.34482758620689,77.91901271918724,t5-large,esnli,741,16,standard
102,74.42528735632183,68.05370398636522,t5-base,esnli,9933,16,standard
103,85.34482758620689,78.04642353934803,t5-large,esnli,9933,16,standard
104,86.7816091954023,79.19803873218339,t5-large,esnli,3112,16,standard
105,84.77011494252874,77.69710484934949,t5-large,esnli,834,16,standard
106,75.0,68.54421689935114,t5-base,esnli,2913,16,standard
107,73.85057471264368,67.36000932153614,t5-base,esnli,9962,16,standard
