,task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized,rank
0,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.49523809523809,32.91775614448956,4
1,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.81428571428572,32.52619905159587,4
2,esnli,t5-base,standard,16,72.22701149425286,65.94330321269474,4
3,esnli,t5-large,standard,16,84.27191729578998,77.18300833220806,4
4,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,29.02040816326531,28.35283862557016,4
5,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.34285714285714,60.98457991083463,4
6,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,55.71428571428571,50.98884470519565,4
7,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.69047619047619,63.17882688669931,4
8,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.766666666666666,33.13853471335911,8
9,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.48443735035914,32.25235783892066,8
10,esnli,t5-base,standard,16,72.72550165595169,66.4026665369391,8
11,esnli,t5-large,standard,16,84.06432748538012,76.99599136452109,8
12,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,30.093637454981994,29.503289378276104,8
13,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.30952380952381,60.88399723427636,8
14,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.06666666666667,51.30450772898538,8
15,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.07142857142857,62.607156155790605,8
16,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.63809523809524,33.03399958553768,16
17,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.4769975786925,32.238240181293286,16
18,esnli,t5-base,standard,16,72.57183908045977,66.25529620667983,16
19,esnli,t5-large,standard,16,84.23766058147397,77.14530412090075,16
20,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,30.566585956416464,29.972661478756127,16
21,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.261904761904766,60.84961457451185,16
22,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.07619047619048,51.30956604310445,16
23,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.24879614767255,62.76838445835664,16
24,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.71904761904762,33.1000734718073,32
25,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.768860353130016,32.47225584694891,32
26,esnli,t5-base,standard,16,72.34674329501917,66.05430614246035,32
27,esnli,t5-large,standard,16,84.35183295926002,77.24704536482857,32
28,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,30.957142857142856,30.406027698516844,32
29,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.62380952380953,61.1414963560445,32
30,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.023809523809526,51.25631013768059,32
31,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.17619047619048,62.71020329679762,32
