,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized,seed,seed
,,,,mean,std,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,22.652380952380952,3.791896718744273,18.499228010574978,3.073991658221624,4633.966666666666,2928.4209907198947
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.2,4.039195717072437,34.23080688686598,3.703311601007457,4633.966666666666,2928.4209907198942
esnli,t5-base,standard,16,74.91379310344828,2.9226176950156466,68.5253805167602,2.6844453513598845,4633.966666666666,2928.4209907198947
esnli,t5-large,standard,16,84.52107279693487,1.9386556717166035,77.42809406956265,1.7904500516548405,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,54.68571428571429,2.2046333398697633,51.12824550469716,2.2534702703194376,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,61.27619047619047,2.803528712645974,58.336379274584,2.880105026521047,4633.966666666666,2928.4209907198942
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.0,2.7075103406816305,51.22812206659999,2.472184229825094,4633.966666666666,2928.4209907198942
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,69.35714285714286,3.5953957707461526,63.75305249889691,3.297157881891651,4633.966666666666,2928.4209907198947
