seed,input,predicted_label,predicted_explanation
1111,A football player tackles an member of the opposing team. People playing football.,entailment,football players tackle members of the opposing team.
1111,A woman walking in front of a yellow building. The woman is walking.,entailment,walking in front of a yellow building is a walking.
1111,A photographer with bushy dark hair takes a photo of a skateboarder at an indoor park. The person with the camera photographs the person skating.,entailment,the person with the camera is a skateboarder.
1111,A girl in uniform running through the water fountain gushing water from the tiles. A girl is running through the water,entailment,a girl in uniform running through the water fountain gushing water from the tiles.
1111,"Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants. There are people on the subway.",entailment,there are people on the subway.
1111,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs. A man is wearing a blue shirt,entailment,a man is wearing a blue shirt.
1111,Four speed skaters representing different countries are racing across ice in front of camera people. Four skaters race each other.,entailment,they are racing across ice in front of camera people.
1111,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt.",entailment,a person is cooking.
1111,Two people sit on a bench leaned against a building with writing on it. Tow people are resting their backs against a bench.,entailment,two people are resting their backs against a bench leaned against a building with writing on it.
1111,Rugby player lifted to attempt a score against a red team defending. the player tries to score,entailment,the player is lifted to attempt a score against a red team defending.
1111,"A man in a gray shirt, standing outdoors, holds something in his mouth and is passing it to the mouth of another man, who is dressed in a black shirt. A man is standing outdoors.",entailment,a man is standing outdoors and passing something to another man.
1111,A baseball player is sliding into a base while the baseman is catching an incoming ball during a major league baseball game. A baseball player slides into a base.,entailment,the baseman is catching an incoming ball during a major league baseball game.
1111,"a large house with three stories and 3 matching balconies, with one person standing on each balcony overlooking onlookers. The house has balconies.",entailment,there are 3 matching balconies.
1111,A male bartender dressed in all black with his sleeves rolled up to elbow height making a drink in a martini glass. A person in black,entailment,a male bartender is a person in black.
1111,An elderly man is looking through his glasses while working with hot metal. man in glasses,entailment,man in glasses is looking through his glasses while working with hot metal.
1111,The black dog is running through water. The dog with the black fur gets wet running in water.,entailment,the dog is running through water.
1111,A man plays mini-gold on the SportsCenter set while two others observe. The man is being watched.,entailment,two others are watching the man.
