,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,50.0,44.51992452144623,allenai/unifiedqa-t5-large,ecqa,588,48,unifiedqa_matching
1,55.714285714285715,52.05991300514766,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
2,68.28571428571428,66.22084983757564,allenai/unifiedqa-t5-large,sbic,834,24,unified_qa_what_with_tags
3,80.17241379310344,73.25127938355523,t5-base,esnli,2498,16,standard
4,62.57142857142857,59.27317471163614,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
5,62.857142857142854,59.47621953487396,allenai/unifiedqa-t5-base,sbic,1936,24,unified_qa_what_with_tags
6,19.142857142857142,15.721668771335057,allenai/unifiedqa-t5-base,ecqa,6290,48,unifiedqa_matching
7,56.57142857142857,53.36674129962921,allenai/unifiedqa-t5-large,sbic,2175,24,unified_qa_what_with_tags
8,18.0,14.826893176351275,allenai/unifiedqa-t5-base,ecqa,8384,48,unifiedqa_matching
9,65.42857142857143,60.23067690644945,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
10,62.0,59.37257504463196,allenai/unifiedqa-t5-large,sbic,5320,24,unified_qa_what_with_tags
11,85.0574712643678,77.88381480622566,t5-large,esnli,7632,16,standard
12,84.19540229885058,77.18579128555868,t5-large,esnli,1111,16,standard
13,43.142857142857146,38.67965221405029,allenai/unifiedqa-t5-large,ecqa,178,48,unifiedqa_matching
14,61.71428571428571,59.811571734292166,allenai/unifiedqa-t5-large,sbic,7004,24,unified_qa_what_with_tags
15,16.857142857142858,14.080021364348275,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
16,80.17241379310344,73.25127938355523,t5-base,esnli,2498,16,standard
17,80.17241379310344,73.75372930847365,t5-large,esnli,7356,16,standard
18,72.0,66.26124378613063,allenai/unifiedqa-t5-large,sensemaking,2638,24,unifiedqa_what
19,77.01149425287356,70.70861479331707,t5-base,esnli,6595,16,standard
20,74.0,68.28809888022286,allenai/unifiedqa-t5-large,sensemaking,2147,24,unifiedqa_what
21,62.0,58.98117959499359,allenai/unifiedqa-t5-large,sbic,741,24,unified_qa_what_with_tags
22,60.57142857142858,58.002827167510986,allenai/unifiedqa-t5-large,sbic,1181,24,unified_qa_what_with_tags
23,86.7816091954023,79.33636879783937,t5-large,esnli,1331,16,standard
24,75.14285714285714,69.52533684458051,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
25,85.0574712643678,78.04112389855001,t5-large,esnli,4512,16,standard
26,52.85714285714286,48.7916967357908,allenai/unifiedqa-t5-base,sbic,1331,24,unified_qa_what_with_tags
27,52.85714285714286,48.32216465473175,allenai/unifiedqa-t5-base,sensemaking,7632,24,unifiedqa_what
28,68.57142857142857,66.43215237345014,allenai/unifiedqa-t5-large,sbic,6290,24,unified_qa_what_with_tags
29,75.0,68.36296027076655,t5-base,esnli,9962,16,standard
30,71.14285714285714,65.67202055454254,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
31,53.714285714285715,49.08328582559313,allenai/unifiedqa-t5-base,sensemaking,9933,24,unifiedqa_what
32,50.857142857142854,45.34352346829006,allenai/unifiedqa-t5-large,ecqa,6227,48,unifiedqa_matching
33,24.571428571428573,20.224642753601074,allenai/unifiedqa-t5-base,ecqa,4199,48,unifiedqa_matching
34,57.99999999999999,54.54750451019832,allenai/unifiedqa-t5-base,sbic,9428,24,unified_qa_what_with_tags
35,87.06896551724138,79.68995329634896,t5-large,esnli,2796,16,standard
36,56.57142857142857,52.947366050311494,allenai/unifiedqa-t5-base,sbic,4791,24,unified_qa_what_with_tags
37,17.71428571428571,14.719525848116193,allenai/unifiedqa-t5-base,ecqa,9428,48,unifiedqa_matching
38,58.57142857142858,54.80343403135027,allenai/unifiedqa-t5-base,sbic,8219,24,unified_qa_what_with_tags
39,83.9080459770115,76.63219805764057,t5-large,esnli,4273,16,standard
40,59.14285714285714,55.891778520175386,allenai/unifiedqa-t5-large,sbic,6339,24,unified_qa_what_with_tags
41,53.142857142857146,47.31132996082306,allenai/unifiedqa-t5-large,ecqa,7056,48,unifiedqa_matching
42,81.60919540229885,74.69384714789774,t5-large,esnli,5358,16,standard
43,53.714285714285715,49.72529791082655,allenai/unifiedqa-t5-base,sbic,7356,24,unified_qa_what_with_tags
44,63.714285714285715,61.70414558478764,allenai/unifiedqa-t5-large,sbic,8483,24,unified_qa_what_with_tags
45,85.0574712643678,77.9970574995567,t5-large,esnli,176,16,standard
46,74.42528735632183,68.01211929869378,t5-base,esnli,1181,16,standard
47,75.14285714285714,68.99383108956474,allenai/unifiedqa-t5-large,sensemaking,6595,24,unifiedqa_what
48,48.57142857142857,43.27206947122301,allenai/unifiedqa-t5-large,ecqa,741,48,unifiedqa_matching
49,86.7816091954023,79.57442728267318,t5-large,esnli,9599,16,standard
50,84.48275862068965,77.44536439235183,t5-large,esnli,7740,16,standard
51,55.14285714285714,51.172982352120535,allenai/unifiedqa-t5-base,sbic,4864,24,unified_qa_what_with_tags
52,65.42857142857143,62.28886435713087,allenai/unifiedqa-t5-large,sbic,8384,24,unified_qa_what_with_tags
53,24.857142857142858,20.51341233934675,allenai/unifiedqa-t5-base,ecqa,7009,48,unifiedqa_matching
54,62.57142857142857,59.27317471163614,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
55,74.71264367816092,68.37532758370213,t5-base,esnli,3639,16,standard
56,67.14285714285714,61.82226070335933,allenai/unifiedqa-t5-large,sensemaking,6227,24,unifiedqa_what
57,71.42857142857143,65.81462805611747,allenai/unifiedqa-t5-large,sensemaking,5358,24,unifiedqa_what
58,15.428571428571427,12.875995533806938,allenai/unifiedqa-t5-base,ecqa,2689,48,unifiedqa_matching
59,55.14285714285714,51.55616288525717,allenai/unifiedqa-t5-base,sbic,2147,24,unified_qa_what_with_tags
60,85.34482758620689,78.40806641455355,t5-large,esnli,3639,16,standard
61,85.0574712643678,77.9970574995567,t5-large,esnli,176,16,standard
62,58.57142857142858,55.61959322861263,allenai/unifiedqa-t5-large,sbic,1319,24,unified_qa_what_with_tags
63,50.0,45.84272226265499,allenai/unifiedqa-t5-base,sensemaking,7740,24,unifiedqa_what
64,20.285714285714285,16.62571518761771,allenai/unifiedqa-t5-base,ecqa,1319,48,unifiedqa_matching
65,52.57142857142857,48.540846024240764,allenai/unifiedqa-t5-base,sbic,5320,24,unified_qa_what_with_tags
66,57.14285714285714,52.36382140432085,allenai/unifiedqa-t5-base,sensemaking,4779,24,unifiedqa_what
67,74.13793103448276,67.8596117715726,t5-base,esnli,4199,16,standard
68,58.57142857142858,55.91192878995623,allenai/unifiedqa-t5-large,sbic,2638,24,unified_qa_what_with_tags
69,60.0,56.92296598638807,allenai/unifiedqa-t5-large,sbic,9428,24,unified_qa_what_with_tags
70,26.571428571428573,22.00317450932094,allenai/unifiedqa-t5-base,ecqa,7356,48,unifiedqa_matching
71,39.42857142857143,35.06922510692051,allenai/unifiedqa-t5-large,ecqa,8975,48,unifiedqa_matching
72,64.57142857142857,61.570848550115315,allenai/unifiedqa-t5-large,sbic,1936,24,unified_qa_what_with_tags
73,51.42857142857142,47.02149248123169,allenai/unifiedqa-t5-base,sensemaking,2689,24,unifiedqa_what
74,70.28571428571428,64.61529142516,allenai/unifiedqa-t5-large,sensemaking,8219,24,unifiedqa_what
75,16.28571428571429,13.361161623682294,allenai/unifiedqa-t5-base,ecqa,2348,48,unifiedqa_matching
76,63.714285714285715,58.76220772947584,allenai/unifiedqa-t5-large,sensemaking,1936,24,unifiedqa_what
77,71.71428571428572,66.21347085067204,allenai/unifiedqa-t5-large,sensemaking,1349,24,unifiedqa_what
78,76.4367816091954,70.01221311845998,t5-base,esnli,4523,16,standard
79,56.00000000000001,51.22024403299604,allenai/unifiedqa-t5-base,sensemaking,9991,24,unifiedqa_what
80,54.0,47.96595784596035,allenai/unifiedqa-t5-large,ecqa,4823,48,unifiedqa_matching
81,56.57142857142857,52.71675326142992,allenai/unifiedqa-t5-base,sbic,9962,24,unified_qa_what_with_tags
82,57.714285714285715,55.45029190608433,allenai/unifiedqa-t5-large,sbic,6227,24,unified_qa_what_with_tags
83,74.57142857142857,68.68929042134967,allenai/unifiedqa-t5-large,sensemaking,5320,24,unifiedqa_what
84,58.285714285714285,55.73556053638458,allenai/unifiedqa-t5-large,sbic,4779,24,unified_qa_what_with_tags
85,66.57142857142857,61.04628695760454,allenai/unifiedqa-t5-large,sensemaking,2348,24,unifiedqa_what
86,40.0,35.619355712618145,allenai/unifiedqa-t5-large,ecqa,4523,48,unifiedqa_matching
87,84.19540229885058,77.18579128555868,t5-large,esnli,1111,16,standard
88,21.714285714285715,18.172376019614084,allenai/unifiedqa-t5-base,ecqa,51,48,unifiedqa_matching
89,83.33333333333334,76.09798963042512,t5-large,esnli,7009,16,standard
90,62.857142857142854,60.499790702547344,allenai/unifiedqa-t5-large,sbic,51,24,unified_qa_what_with_tags
91,40.0,35.24640595912933,allenai/unifiedqa-t5-large,ecqa,6595,48,unifiedqa_matching
92,53.714285714285715,49.31565133162907,allenai/unifiedqa-t5-base,sensemaking,8975,24,unifiedqa_what
93,83.04597701149426,76.00807629782578,t5-large,esnli,51,16,standard
94,60.0,54.91028002330235,allenai/unifiedqa-t5-base,sensemaking,4182,24,unifiedqa_what
95,51.142857142857146,46.81038849694388,allenai/unifiedqa-t5-base,sensemaking,176,24,unifiedqa_what
96,57.714285714285715,55.45029190608433,allenai/unifiedqa-t5-large,sbic,6227,24,unified_qa_what_with_tags
97,53.714285714285715,49.03895340647016,allenai/unifiedqa-t5-base,sensemaking,2796,24,unifiedqa_what
98,57.99999999999999,54.67329321588789,allenai/unifiedqa-t5-base,sbic,9599,24,unified_qa_what_with_tags
99,75.14285714285714,69.52533684458051,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
100,53.42857142857142,49.013751660074504,allenai/unifiedqa-t5-base,sensemaking,3112,24,unifiedqa_what
101,81.32183908045977,74.37210317658283,t5-base,esnli,9428,16,standard
102,82.75862068965517,75.57221512342322,t5-large,esnli,2147,16,standard
103,50.857142857142854,45.33966737134116,allenai/unifiedqa-t5-large,ecqa,4512,48,unifiedqa_matching
104,87.93103448275862,80.63974666526948,t5-large,esnli,1319,16,standard
105,50.0,45.84272226265499,allenai/unifiedqa-t5-base,sensemaking,7740,24,unifiedqa_what
106,72.0,66.3211326428822,allenai/unifiedqa-t5-large,sensemaking,51,24,unifiedqa_what
107,71.42857142857143,65.65368131228855,allenai/unifiedqa-t5-large,sensemaking,7056,24,unifiedqa_what
108,78.16091954022988,71.4340512951215,t5-base,esnli,8384,16,standard
109,60.285714285714285,55.283662932259695,allenai/unifiedqa-t5-base,sensemaking,3639,24,unifiedqa_what
110,84.48275862068965,77.23966061041273,t5-large,esnli,8483,16,standard
111,53.714285714285715,49.03895340647016,allenai/unifiedqa-t5-base,sensemaking,2796,24,unifiedqa_what
