seed,input,predicted_label,predicted_explanation
1111,choice1: Cocks are swimming in the river. choice2: Ducks are swimming in the river.,choice1,ducks swim in the river
1111,choice1: I like to play drums at the art gallery choice2: I like to view art at the art gallery.,choice1,drums are not a form of music
1111,choice1: reading books can make you more stupid choice2: reading books can make you smarter,choice1,reading books can make you stupid
1111,choice1: a match can put out a candle choice2: A match can light a candle.,choice1,a match cannot light a candle
1111,choice1: the dog played catch with a bowling ball choice2: the dog played catch with a tennis ball,choice1,bowling balls are not used in tennis.
1111,choice1: People play near the volcano and swim in the lava choice2: people play near the beach and swim in the water,choice1,volcanoes do not exist.
1111,choice1: All fruits are yellow choice2: Bananas are yellow.,choice1,bananas are yellow
1111,choice1: I used the dog to open the door. choice2: I used the key to open the door.,choice1,dogs don't have keys.
1111,choice1: A fan is making me hotter choice2: A fan is making me feel cool,choice1,a fan makes me hotter
1111,choice1: she cooked a giraffe in the pressure cooker choice2: she cooked meat in the pressure cooker,choice1,giraffes are not animals
1111,choice1: Texas is kind choice2: Texas is warm,choice1,texas is cold while choice2
1111,choice1: A rabbit typically weighs 200 pounds. choice2: Rabbits are small animals with big ears and fluffy whitetails.,choice1,rabbits are small animals.
1111,choice1: You should eat at least 5 portions of candy and soda a day choice2: You should eat at least 5 portions of fruit and vegetables a day,choice1,candy and soda are harmful to your health
1111,choice1: We like to die every day. choice2: We like to dance every day.,choice1,death is the only way to die.
1111,choice1: A dishwasher is a band instrument. choice2: A trombone is a band instrument.,choice1,dishwashers are dishwashers
1111,choice1: Food store sells pets choice2: a food store is used for selling food.,choice1,pets are not allowed in food stores
1111,choice1: Something that might happen as a consequence of doing regular exercise is you improve your study choice2: Something that might happen as a consequence of doing regular exercise is you improve your health,choice1,people do not study when they exercise.
1111,choice1: Vegetables should eat a healthy diet. choice2: Vegetable are part of a healthy diet.,choice1,vegetables are part of a healthy diet.
1111,"choice1: if you want to risk money to make money, then you should buy insurance choice2: if you want to risk money to make money, then you should gamble",choice1,insurance is not a form of insurance.
1111,choice1: I bought a giraffe for my girlfriend choice2: I bought a trapeze dress for my girlfriend,choice1,giraffes are not giraffes
1111,choice1: The girl was sit on the fan for her school choice2: The girl was sit on the bench for her school,choice1,fans are not allowed in schools
1111,choice1: People like things which make them feel nauseous choice2: People like things which make them feel secure,choice1,people don't like things which make them feel nauseous
1111,choice1: They cook in the ocean. choice2: They swim in the ocean.,choice1,cooking in the ocean is not possible.
1111,choice1: Bricks are soft choice2: Bricks are used for constructing buildings.,choice1,bricks are soft
1111,choice1: He put lion into a glass choice2: He put water into a glass.,choice1,lions are not drinkable
1111,choice1: A car is only driven at night choice2: A car can be driven at night,choice1,cars are only driven at night
1111,choice1: He drove his car into a can. choice2: He drove his car into the garage.,choice1,a can is not a garage.
1111,choice1: The leaves on the tree are starting to turn blue. choice2: The leaves on the tree are starting to turn red.,choice1,leaves turn blue when they are blue.
1111,"choice1: when someone dies, their heart-rate increases choice2: when someone dies, their heart stops beating",choice1,heart stops beating when someone dies
1111,choice1: People who are likely full will visit a restaurant choice2: Something you find at a restaurant is food,choice1,people who are likely full will visit a restaurant
1111,choice1: A shoe store is used for selling food choice2: A shoe store is used for selling shoes,choice1,food is not sold in shoe stores
1111,choice1: A bone can eat a dog choice2: A dog can eat a bone,choice1,dogs cannot eat bones
