,task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized,rank
0,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,41.78095238095238,33.96782894049372,4
1,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,51.40081632653061,41.808925505268334,4
2,esnli,t5-base,standard,16,40.71360153256705,35.77903887435394,4
3,esnli,t5-large,standard,16,83.96686159844054,76.82325830671218,4
4,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.3285714285714285,0.2819716779958634,4
5,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,24.271186440677965,24.26741918986415,4
6,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,55.68095238095238,50.89800651811418,4
7,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,66.63333333333334,61.18416022686731,4
8,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,41.833333333333336,34.00937901025727,8
9,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,51.49523809523809,41.88561169363204,8
10,esnli,t5-base,standard,16,42.3132183908046,37.22093686404356,8
11,esnli,t5-large,standard,16,84.17145593869732,77.02646758421628,8
12,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.3428571428571428,0.2938285149279095,8
13,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,26.057142857142857,26.048482693376997,8
14,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,55.990476190476194,51.18491345416932,8
15,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,66.66666666666667,61.21795266157105,8
16,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,41.96428571428572,34.11803950673463,16
17,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,51.3717834960071,41.78785258282998,16
18,esnli,t5-base,standard,16,42.083333333333336,37.018622167094456,16
19,esnli,t5-large,standard,16,84.0483032293377,76.90433501457102,16
20,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.3047619047619047,0.2615378073283604,16
21,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,26.966666666666665,26.96203846165112,16
22,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.31428571428571,51.469562059640886,16
23,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,67.12380952380953,61.63627791461491,16
24,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,41.82857142857143,34.008366163855506,32
25,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,51.45091779728652,41.85128880860039,32
26,esnli,t5-base,standard,16,42.06417624521073,36.9892291185157,32
27,esnli,t5-large,standard,16,84.07441016333938,76.92207861755566,32
28,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.2932330827067669,0.2512876730514947,32
29,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,27.36561743341404,27.360783341433176,32
30,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.261904761904766,51.42869040228072,32
31,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,67.29047619047618,61.78664376650537,32
