,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,58.857142857142854,47.78118528638567,allenai/unifiedqa-t5-large,ecqa,588,48,unifiedqa_matching
1,0.2857142857142857,0.24365942818777903,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
2,0.0,0.0,allenai/unifiedqa-t5-large,sbic,834,24,unified_qa_what_with_tags
3,73.85057471264368,61.43606553475062,t5-base,esnli,2498,16,standard
4,0.5714285714285714,0.47726922375815256,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
5,0.2857142857142857,0.24279560361589705,allenai/unifiedqa-t5-base,sbic,1936,24,unified_qa_what_with_tags
6,36.857142857142854,29.995534539222717,allenai/unifiedqa-t5-base,ecqa,6290,48,unifiedqa_matching
7,0.2857142857142857,0.2377412830080305,allenai/unifiedqa-t5-large,sbic,2175,24,unified_qa_what_with_tags
8,37.714285714285715,30.628924744469778,allenai/unifiedqa-t5-base,ecqa,8384,48,unifiedqa_matching
9,22.57142857142857,18.9135707787105,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
10,0.2857142857142857,0.23329959596906388,allenai/unifiedqa-t5-large,sbic,5320,24,unified_qa_what_with_tags
11,88.2183908045977,73.53295728392985,t5-large,esnli,7632,16,standard
12,89.9425287356322,74.88439283494291,t5-large,esnli,1111,16,standard
13,60.285714285714285,49.01165764672415,allenai/unifiedqa-t5-large,ecqa,178,48,unifiedqa_matching
14,0.0,0.0,allenai/unifiedqa-t5-large,sbic,7004,24,unified_qa_what_with_tags
15,40.57142857142857,32.937559383256094,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
16,73.85057471264368,61.43606553475062,t5-base,esnli,2498,16,standard
17,85.0574712643678,70.84918378413408,t5-large,esnli,7356,16,standard
18,23.714285714285715,19.83867359161377,allenai/unifiedqa-t5-large,sensemaking,2638,24,unifiedqa_what
19,73.85057471264368,61.486431322563654,t5-base,esnli,6595,16,standard
20,22.285714285714285,18.683603320802963,allenai/unifiedqa-t5-large,sensemaking,2147,24,unifiedqa_what
21,0.2857142857142857,0.23562821320125035,allenai/unifiedqa-t5-large,sbic,741,24,unified_qa_what_with_tags
22,0.0,0.0,allenai/unifiedqa-t5-large,sbic,1181,24,unified_qa_what_with_tags
23,88.50574712643679,73.71167955042301,t5-large,esnli,1331,16,standard
24,22.57142857142857,18.91766597543444,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
25,86.20689655172413,71.79657344160408,t5-large,esnli,4512,16,standard
26,0.0,0.0,allenai/unifiedqa-t5-base,sbic,1331,24,unified_qa_what_with_tags
27,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,7632,24,unifiedqa_what
28,0.0,0.0,allenai/unifiedqa-t5-large,sbic,6290,24,unified_qa_what_with_tags
29,76.4367816091954,63.674148848687096,t5-base,esnli,9962,16,standard
30,25.142857142857146,21.03124369893755,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
31,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,9933,24,unifiedqa_what
32,56.285714285714285,45.781296713011606,allenai/unifiedqa-t5-large,ecqa,6227,48,unifiedqa_matching
