,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,58.857142857142854,47.78118528638567,allenai/unifiedqa-t5-large,ecqa,588,48,unifiedqa_matching
1,0.2857142857142857,0.24365942818777903,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
2,0.0,0.0,allenai/unifiedqa-t5-large,sbic,834,24,unified_qa_what_with_tags
3,70.6896551724138,58.826038155747554,t5-base,esnli,2498,16,standard
4,0.5714285714285714,0.47726922375815256,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
5,0.2857142857142857,0.24279560361589705,allenai/unifiedqa-t5-base,sbic,1936,24,unified_qa_what_with_tags
6,36.57142857142857,29.760549545288086,allenai/unifiedqa-t5-base,ecqa,6290,48,unifiedqa_matching
7,0.0,0.0,allenai/unifiedqa-t5-large,sbic,2175,24,unified_qa_what_with_tags
8,38.0,30.86329472064972,allenai/unifiedqa-t5-base,ecqa,8384,48,unifiedqa_matching
9,19.428571428571427,16.273951087679183,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
10,0.0,0.0,allenai/unifiedqa-t5-large,sbic,5320,24,unified_qa_what_with_tags
11,87.93103448275862,73.29287073392977,t5-large,esnli,7632,16,standard
12,89.65517241379311,74.6449157253079,t5-large,esnli,1111,16,standard
13,60.0,48.780039514814106,allenai/unifiedqa-t5-large,ecqa,178,48,unifiedqa_matching
14,0.0,0.0,allenai/unifiedqa-t5-large,sbic,7004,24,unified_qa_what_with_tags
15,40.85714285714286,33.17792933327811,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
16,70.6896551724138,58.826038155747554,t5-base,esnli,2498,16,standard
17,84.77011494252874,70.61064544765429,t5-large,esnli,7356,16,standard
18,20.857142857142858,17.44911023548671,allenai/unifiedqa-t5-large,sensemaking,2638,24,unifiedqa_what
19,71.55172413793103,59.573872370281435,t5-base,esnli,6595,16,standard
20,19.428571428571427,16.265036702156067,allenai/unifiedqa-t5-large,sensemaking,2147,24,unifiedqa_what
21,0.2857142857142857,0.23562821320125035,allenai/unifiedqa-t5-large,sbic,741,24,unified_qa_what_with_tags
22,0.0,0.0,allenai/unifiedqa-t5-large,sbic,1181,24,unified_qa_what_with_tags
23,88.79310344827587,73.94771594768282,t5-large,esnli,1331,16,standard
24,18.285714285714285,15.317867994308472,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
25,85.63218390804597,71.3193823208754,t5-large,esnli,4512,16,standard
26,0.0,0.0,allenai/unifiedqa-t5-base,sbic,1331,24,unified_qa_what_with_tags
27,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,7632,24,unifiedqa_what
28,0.0,0.0,allenai/unifiedqa-t5-large,sbic,6290,24,unified_qa_what_with_tags
29,72.70114942528735,60.56464853985556,t5-base,esnli,9962,16,standard
30,21.428571428571427,17.913553476333618,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
31,0.0,0.0,allenai/unifiedqa-t5-base,sensemaking,9933,24,unifiedqa_what
32,56.285714285714285,45.781296713011606,allenai/unifiedqa-t5-large,ecqa,6227,48,unifiedqa_matching
33,42.0,34.108854106494356,allenai/unifiedqa-t5-base,ecqa,4199,48,unifiedqa_matching
