,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,38.857142857142854,33.02578149523054,allenai/unifiedqa-t5-large,ecqa,588,48,unifiedqa_matching
1,54.57142857142857,51.31209186145237,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
2,61.71428571428571,59.12480015414102,allenai/unifiedqa-t5-large,sbic,834,24,unified_qa_what_with_tags
3,70.6896551724138,64.64565398021676,t5-base,esnli,2498,16,standard
4,61.142857142857146,57.22089786188943,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
5,64.85714285714286,61.65148440429142,allenai/unifiedqa-t5-base,sbic,1936,24,unified_qa_what_with_tags
6,33.714285714285715,27.451261724744523,allenai/unifiedqa-t5-base,ecqa,6290,48,unifiedqa_matching
7,59.42857142857143,56.28364161082676,allenai/unifiedqa-t5-large,sbic,2175,24,unified_qa_what_with_tags
8,36.857142857142854,29.96229682649885,allenai/unifiedqa-t5-base,ecqa,8384,48,unifiedqa_matching
9,61.42857142857143,56.60964495795114,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
10,60.57142857142858,57.57508017335619,allenai/unifiedqa-t5-large,sbic,5320,24,unified_qa_what_with_tags
11,84.19540229885058,77.08018869161606,t5-large,esnli,7632,16,standard
12,85.63218390804597,78.36749810596993,t5-large,esnli,1111,16,standard
13,36.857142857142854,31.66306059701102,allenai/unifiedqa-t5-large,ecqa,178,48,unifiedqa_matching
14,60.285714285714285,57.49074581691197,allenai/unifiedqa-t5-large,sbic,7004,24,unified_qa_what_with_tags
15,36.857142857142854,29.93440706389291,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
16,70.6896551724138,64.64565398021676,t5-base,esnli,2498,16,standard
17,84.48275862068965,77.49093349637657,t5-large,esnli,7356,16,standard
18,67.14285714285714,61.944397824151174,allenai/unifiedqa-t5-large,sensemaking,2638,24,unifiedqa_what
19,77.01149425287356,70.44517360199457,t5-base,esnli,6595,16,standard
20,74.28571428571429,68.37112452302661,allenai/unifiedqa-t5-large,sensemaking,2147,24,unifiedqa_what
21,67.14285714285714,64.38919242790767,allenai/unifiedqa-t5-large,sbic,741,24,unified_qa_what_with_tags
22,65.14285714285715,62.07232996395656,allenai/unifiedqa-t5-large,sbic,1181,24,unified_qa_what_with_tags
23,83.04597701149426,76.12009307091263,t5-large,esnli,1331,16,standard
24,71.71428571428572,66.19118797779083,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
