,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized
,,,,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.766666666666666,2.518768550569477,33.13853471335911,2.0527782855590435
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.48443735035914,3.8098789926282985,32.25235783892066,3.0773642353019066
ecqa,t5-base,record,48,15.202059202059202,3.688778293446895,12.361894414845274,2.9993117008444963
ecqa,t5-large,record,48,44.38665526090676,3.5621371481887865,38.425584356839884,3.219235732625672
esnli,t5-base,standard,16,72.72550165595169,3.1328063408668227,66.4026665369391,2.878164504161237
esnli,t5-large,standard,16,84.06432748538012,2.262690870234938,76.99599136452109,2.0851250679716813
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,30.093637454981994,6.780292570257706,29.503289378276104,6.7896636742286525
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.407563025210095,4.058490773979214,60.90776166119495,4.076995842792248
sbic,t5-base,cola,24,35.01754385964912,6.320028811533771,34.637216450576496,6.317110913306035
sbic,t5-large,cola,24,59.71732522796353,2.993550653659369,57.288215845008025,3.006306219146615
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.06666666666667,2.4800519342086136,51.30450772898538,2.2624105562040406
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.07142857142857,3.899284776559348,62.607156155790605,3.600842126849544
sensemaking,t5-base,copa_bool,24,55.01428571428571,2.0500041479964666,50.00306318913188,1.8609529753557945
sensemaking,t5-large,copa_bool,24,47.09047619047619,2.5616170842200052,43.145647679624105,2.381802954500718
