,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
0,47.714285714285715,42.42334932940347,allenai/unifiedqa-t5-large,ecqa,588,48,unifiedqa_matching
1,57.14285714285714,54.27131726060595,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
2,62.57142857142857,61.253967830113005,allenai/unifiedqa-t5-large,sbic,834,24,unified_qa_what_with_tags
3,79.02298850574712,72.26520437618782,t5-base,esnli,2498,16,standard
4,62.28571428571429,58.75151971408299,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
5,58.57142857142858,55.01990672520229,allenai/unifiedqa-t5-base,sbic,1936,24,unified_qa_what_with_tags
6,28.285714285714285,23.006554671696254,allenai/unifiedqa-t5-base,ecqa,6290,48,unifiedqa_matching
7,58.57142857142858,55.31498849391937,allenai/unifiedqa-t5-large,sbic,2175,24,unified_qa_what_with_tags
8,32.857142857142854,26.796168855258397,allenai/unifiedqa-t5-base,ecqa,8384,48,unifiedqa_matching
9,60.57142857142858,55.99464731557028,allenai/unifiedqa-t5-large,sensemaking,6339,24,unifiedqa_what
10,63.42857142857142,60.500875915799824,allenai/unifiedqa-t5-large,sbic,5320,24,unified_qa_what_with_tags
11,85.63218390804597,78.42826108480322,t5-large,esnli,7632,16,standard
12,83.62068965517241,76.6096045230997,t5-large,esnli,1111,16,standard
13,44.857142857142854,39.87860994679587,allenai/unifiedqa-t5-large,ecqa,178,48,unifiedqa_matching
14,60.285714285714285,57.82807551111494,allenai/unifiedqa-t5-large,sbic,7004,24,unified_qa_what_with_tags
15,31.142857142857146,25.321344545909337,allenai/unifiedqa-t5-base,ecqa,588,48,unifiedqa_matching
16,79.02298850574712,72.26520437618782,t5-base,esnli,2498,16,standard
17,81.60919540229885,75.10807360040731,t5-large,esnli,7356,16,standard
18,65.42857142857143,60.36391978604453,allenai/unifiedqa-t5-large,sensemaking,2638,24,unifiedqa_what
19,77.01149425287356,70.73495620968698,t5-base,esnli,6595,16,standard
20,76.28571428571429,70.2758628981454,allenai/unifiedqa-t5-large,sensemaking,2147,24,unifiedqa_what
21,62.28571428571429,59.26928000790732,allenai/unifiedqa-t5-large,sbic,741,24,unified_qa_what_with_tags
22,66.28571428571428,63.56577556473868,allenai/unifiedqa-t5-large,sbic,1181,24,unified_qa_what_with_tags
23,85.34482758620689,77.79485252739369,t5-large,esnli,1331,16,standard
24,70.0,64.65132221153804,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
25,83.33333333333334,76.40439280490766,t5-large,esnli,4512,16,standard
26,59.14285714285714,55.65072056225368,allenai/unifiedqa-t5-base,sbic,1331,24,unified_qa_what_with_tags
27,56.285714285714285,51.617685999189106,allenai/unifiedqa-t5-base,sensemaking,7632,24,unifiedqa_what
28,68.85714285714286,67.18517807551792,allenai/unifiedqa-t5-large,sbic,6290,24,unified_qa_what_with_tags
29,72.70114942528735,66.35819356674436,t5-base,esnli,9962,16,standard
30,66.57142857142857,61.52842938899994,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
31,56.285714285714285,51.491304414612905,allenai/unifiedqa-t5-base,sensemaking,9933,24,unifiedqa_what
32,46.0,40.731461593082976,allenai/unifiedqa-t5-large,ecqa,6227,48,unifiedqa_matching
33,31.428571428571427,25.734917776925222,allenai/unifiedqa-t5-base,ecqa,4199,48,unifiedqa_matching
34,58.57142857142858,55.16015694822584,allenai/unifiedqa-t5-base,sbic,9428,24,unified_qa_what_with_tags
35,86.7816091954023,79.64065124591191,t5-large,esnli,2796,16,standard
36,60.0,56.92682974679129,allenai/unifiedqa-t5-base,sbic,4791,24,unified_qa_what_with_tags
37,32.0,26.12506205695016,allenai/unifiedqa-t5-base,ecqa,9428,48,unifiedqa_matching
38,56.57142857142857,53.83237145628248,allenai/unifiedqa-t5-base,sbic,8219,24,unified_qa_what_with_tags
39,83.62068965517241,76.4702493089369,t5-large,esnli,4273,16,standard
40,70.85714285714285,68.0837481873376,allenai/unifiedqa-t5-large,sbic,6339,24,unified_qa_what_with_tags
41,53.42857142857142,47.522232566561016,allenai/unifiedqa-t5-large,ecqa,7056,48,unifiedqa_matching
42,75.0,68.67001443758778,t5-large,esnli,5358,16,standard
43,52.0,48.205940978867666,allenai/unifiedqa-t5-base,sbic,7356,24,unified_qa_what_with_tags
44,66.28571428571428,63.91396956784384,allenai/unifiedqa-t5-large,sbic,8483,24,unified_qa_what_with_tags
45,85.34482758620689,78.23684823581542,t5-large,esnli,176,16,standard
46,74.42528735632183,68.09986411840066,t5-base,esnli,1181,16,standard
47,73.71428571428571,67.79362569536481,allenai/unifiedqa-t5-large,sensemaking,6595,24,unifiedqa_what
48,52.0,46.17077168396541,allenai/unifiedqa-t5-large,ecqa,741,48,unifiedqa_matching
49,85.63218390804597,78.42918750883518,t5-large,esnli,9599,16,standard
50,85.91954022988506,78.72501909732819,t5-large,esnli,7740,16,standard
51,56.00000000000001,52.200225012642996,allenai/unifiedqa-t5-base,sbic,4864,24,unified_qa_what_with_tags
52,64.28571428571429,61.29594005857195,allenai/unifiedqa-t5-large,sbic,8384,24,unified_qa_what_with_tags
53,28.57142857142857,23.254804287637985,allenai/unifiedqa-t5-base,ecqa,7009,48,unifiedqa_matching
54,62.28571428571429,58.75151971408299,allenai/unifiedqa-t5-base,sbic,6339,24,unified_qa_what_with_tags
55,71.26436781609196,65.27236230757045,t5-base,esnli,3639,16,standard
56,66.0,60.61608443941389,allenai/unifiedqa-t5-large,sensemaking,6227,24,unifiedqa_what
57,67.14285714285714,61.896303108760286,allenai/unifiedqa-t5-large,sensemaking,5358,24,unifiedqa_what
58,26.285714285714285,21.46298340388707,allenai/unifiedqa-t5-base,ecqa,2689,48,unifiedqa_matching
59,58.285714285714285,55.015236020088196,allenai/unifiedqa-t5-base,sbic,2147,24,unified_qa_what_with_tags
60,85.0574712643678,78.25251091485735,t5-large,esnli,3639,16,standard
61,85.34482758620689,78.23684823581542,t5-large,esnli,176,16,standard
62,61.42857142857143,58.17675391265324,allenai/unifiedqa-t5-large,sbic,1319,24,unified_qa_what_with_tags
63,52.0,47.778888378824504,allenai/unifiedqa-t5-base,sensemaking,7740,24,unifiedqa_what
64,29.714285714285715,24.20285165309906,allenai/unifiedqa-t5-base,ecqa,1319,48,unifiedqa_matching
65,55.42857142857143,51.806083985737395,allenai/unifiedqa-t5-base,sbic,5320,24,unified_qa_what_with_tags
66,59.71428571428572,54.7183027437755,allenai/unifiedqa-t5-base,sensemaking,4779,24,unifiedqa_what
67,72.12643678160919,65.95775010599488,t5-base,esnli,4199,16,standard
68,60.57142857142858,58.65839263371059,allenai/unifiedqa-t5-large,sbic,2638,24,unified_qa_what_with_tags
69,63.42857142857142,60.87787423815046,allenai/unifiedqa-t5-large,sbic,9428,24,unified_qa_what_with_tags
70,36.57142857142857,29.8298841885158,allenai/unifiedqa-t5-base,ecqa,7356,48,unifiedqa_matching
71,46.85714285714286,41.451401352882385,allenai/unifiedqa-t5-large,ecqa,8975,48,unifiedqa_matching
72,64.85714285714286,61.986055271966116,allenai/unifiedqa-t5-large,sbic,1936,24,unified_qa_what_with_tags
73,54.285714285714285,49.87697485515049,allenai/unifiedqa-t5-base,sensemaking,2689,24,unifiedqa_what
74,65.71428571428571,60.4358308826174,allenai/unifiedqa-t5-large,sensemaking,8219,24,unifiedqa_what
75,31.71428571428571,25.79401057107108,allenai/unifiedqa-t5-base,ecqa,2348,48,unifiedqa_matching
76,66.85714285714286,61.684475132397246,allenai/unifiedqa-t5-large,sensemaking,1936,24,unifiedqa_what
77,66.57142857142857,61.328297001974924,allenai/unifiedqa-t5-large,sensemaking,1349,24,unifiedqa_what
78,72.98850574712644,66.79277166552927,t5-base,esnli,4523,16,standard
79,56.00000000000001,51.30685455458505,allenai/unifiedqa-t5-base,sensemaking,9991,24,unifiedqa_what
80,55.714285714285715,49.25377925804683,allenai/unifiedqa-t5-large,ecqa,4823,48,unifiedqa_matching
81,62.0,59.00857516697475,allenai/unifiedqa-t5-base,sbic,9962,24,unified_qa_what_with_tags
82,62.57142857142857,59.49882580552782,allenai/unifiedqa-t5-large,sbic,6227,24,unified_qa_what_with_tags
83,77.14285714285715,70.93997722012656,allenai/unifiedqa-t5-large,sensemaking,5320,24,unifiedqa_what
84,62.28571428571429,59.51479523522513,allenai/unifiedqa-t5-large,sbic,4779,24,unified_qa_what_with_tags
85,62.28571428571429,57.09734877518245,allenai/unifiedqa-t5-large,sensemaking,2348,24,unifiedqa_what
86,49.142857142857146,43.39960467815399,allenai/unifiedqa-t5-large,ecqa,4523,48,unifiedqa_matching
87,83.62068965517241,76.6096045230997,t5-large,esnli,1111,16,standard
88,25.71428571428571,21.077449883733475,allenai/unifiedqa-t5-base,ecqa,51,48,unifiedqa_matching
89,83.33333333333334,76.01302726857963,t5-large,esnli,7009,16,standard
90,56.285714285714285,53.484303900173735,allenai/unifiedqa-t5-large,sbic,51,24,unified_qa_what_with_tags
91,48.285714285714285,42.835658635411946,allenai/unifiedqa-t5-large,ecqa,6595,48,unifiedqa_matching
92,54.85714285714286,50.28051054477692,allenai/unifiedqa-t5-base,sensemaking,8975,24,unifiedqa_what
93,83.04597701149426,75.9590281837288,t5-large,esnli,51,16,standard
94,57.99999999999999,53.15480475766318,allenai/unifiedqa-t5-base,sensemaking,4182,24,unifiedqa_what
95,49.714285714285715,45.61254671641758,allenai/unifiedqa-t5-base,sensemaking,176,24,unifiedqa_what
96,62.57142857142857,59.49882580552782,allenai/unifiedqa-t5-large,sbic,6227,24,unified_qa_what_with_tags
97,57.99999999999999,53.11235977922167,allenai/unifiedqa-t5-base,sensemaking,2796,24,unifiedqa_what
98,54.285714285714285,50.975554432187764,allenai/unifiedqa-t5-base,sbic,9599,24,unified_qa_what_with_tags
99,70.0,64.65132221153804,allenai/unifiedqa-t5-large,sensemaking,7740,24,unifiedqa_what
100,52.28571428571429,48.03173560755594,allenai/unifiedqa-t5-base,sensemaking,3112,24,unifiedqa_what
101,82.18390804597702,75.20659163422968,t5-base,esnli,9428,16,standard
102,82.18390804597702,75.1960993669499,t5-large,esnli,2147,16,standard
103,47.42857142857143,42.23543662684305,allenai/unifiedqa-t5-large,ecqa,4512,48,unifiedqa_matching
104,87.93103448275862,80.51073636816837,t5-large,esnli,1319,16,standard
105,52.0,47.778888378824504,allenai/unifiedqa-t5-base,sensemaking,7740,24,unifiedqa_what
106,74.28571428571429,68.43875396251678,allenai/unifiedqa-t5-large,sensemaking,51,24,unifiedqa_what
107,64.28571428571429,59.0518274307251,allenai/unifiedqa-t5-large,sensemaking,7056,24,unifiedqa_what
108,76.4367816091954,70.1232060790062,t5-base,esnli,8384,16,standard
109,61.142857142857146,56.09686950274876,allenai/unifiedqa-t5-base,sensemaking,3639,24,unifiedqa_what
110,84.48275862068965,77.29703955266667,t5-large,esnli,8483,16,standard
111,57.99999999999999,53.11235977922167,allenai/unifiedqa-t5-base,sensemaking,2796,24,unifiedqa_what
112,59.14285714285714,54.280679549489705,allenai/unifiedqa-t5-base,sensemaking,6924,24,unifiedqa_what
113,71.14285714285714,65.65987265110016,allenai/unifiedqa-t5-large,sensemaking,8975,24,unifiedqa_what
114,65.14285714285715,62.32627388409206,allenai/unifiedqa-t5-large,sbic,7356,24,unified_qa_what_with_tags
115,57.714285714285715,52.945219959531514,allenai/unifiedqa-t5-base,sensemaking,5320,24,unifiedqa_what
116,79.02298850574712,72.27612898267549,t5-base,esnli,4182,16,standard
117,51.42857142857142,47.0983236857823,allenai/unifiedqa-t5-base,sensemaking,4273,24,unifiedqa_what
118,77.58620689655173,71.03863963107953,t5-base,esnli,9599,16,standard
119,56.00000000000001,53.05515158176422,allenai/unifiedqa-t5-base,sbic,2051,24,unified_qa_what_with_tags
120,54.57142857142857,50.97043827601841,allenai/unifiedqa-t5-base,sbic,6227,24,unified_qa_what_with_tags
121,28.000000000000004,22.85991128853389,allenai/unifiedqa-t5-base,ecqa,4512,48,unifiedqa_matching
122,78.73563218390804,72.26482804479271,t5-base,esnli,9991,16,standard
123,66.57142857142857,61.52842938899994,allenai/unifiedqa-t5-large,sensemaking,176,24,unifiedqa_what
124,66.57142857142857,61.352613244737896,allenai/unifiedqa-t5-large,sensemaking,1335,24,unifiedqa_what
125,84.77011494252874,77.53894138952782,t5-large,esnli,7056,16,standard
126,79.3103448275862,72.58228861737526,t5-base,esnli,6341,16,standard
127,36.285714285714285,29.50360526357378,allenai/unifiedqa-t5-base,ecqa,5358,48,unifiedqa_matching
128,63.714285714285715,60.55956023080008,allenai/unifiedqa-t5-large,sbic,4823,24,unified_qa_what_with_tags
129,82.47126436781609,75.55436503955687,t5-large,esnli,6895,16,standard
130,27.142857142857142,22.10152988774436,allenai/unifiedqa-t5-base,ecqa,1331,48,unifiedqa_matching
131,43.142857142857146,37.79813885688782,allenai/unifiedqa-t5-large,ecqa,6895,48,unifiedqa_matching
132,57.42857142857143,54.796126978737966,allenai/unifiedqa-t5-base,sbic,834,24,unified_qa_what_with_tags
133,26.285714285714285,21.46298340388707,allenai/unifiedqa-t5-base,ecqa,2689,48,unifiedqa_matching
134,30.571428571428573,24.89854323863983,allenai/unifiedqa-t5-base,ecqa,2175,48,unifiedqa_matching
135,67.71428571428572,62.3551686831883,allenai/unifiedqa-t5-large,sensemaking,4523,24,unifiedqa_what
136,64.28571428571429,59.143442681857515,allenai/unifiedqa-t5-large,sensemaking,588,24,unifiedqa_what
137,82.47126436781609,75.55436503955687,t5-large,esnli,6895,16,standard
138,55.14285714285714,51.63593397821699,allenai/unifiedqa-t5-base,sbic,2769,24,unified_qa_what_with_tags
139,78.44827586206897,71.75528706832864,t5-base,esnli,741,16,standard
140,57.14285714285714,54.27131726060595,allenai/unifiedqa-t5-base,sbic,6290,24,unified_qa_what_with_tags
141,40.0,34.96024664810726,allenai/unifiedqa-t5-large,ecqa,1967,48,unifiedqa_matching
142,48.857142857142854,43.220378807612825,allenai/unifiedqa-t5-large,ecqa,1331,48,unifiedqa_matching
143,57.99999999999999,52.96112283638546,allenai/unifiedqa-t5-base,sensemaking,2638,24,unifiedqa_what
144,68.57142857142857,63.081495778901235,allenai/unifiedqa-t5-large,sensemaking,4199,24,unifiedqa_what
145,67.14285714285714,64.15376608712333,allenai/unifiedqa-t5-large,sbic,588,24,unified_qa_what_with_tags
146,57.14285714285714,53.89278047425406,allenai/unifiedqa-t5-base,sbic,2638,24,unified_qa_what_with_tags
147,56.85714285714286,52.07219071047647,allenai/unifiedqa-t5-base,sensemaking,588,24,unifiedqa_what
148,31.142857142857146,25.345717821802413,allenai/unifiedqa-t5-base,ecqa,1111,48,unifiedqa_matching
149,45.714285714285715,40.7229938847678,allenai/unifiedqa-t5-large,ecqa,6290,48,unifiedqa_matching
150,83.62068965517241,76.89821548845576,t5-large,esnli,9991,16,standard
151,50.57142857142857,46.32682968888964,allenai/unifiedqa-t5-base,sensemaking,6227,24,unifiedqa_what
